Committee,Size,Method,MRA,MRSPB_median,MRSPB_mean
claude_4_5_haiku+gemma_3_12b_it+qwen3_235b_instruct,3,AR,0.8907873701039168,0.028177458033573133,0.022182254196642683
claude_4_5_haiku+gemma_3_12b_it+qwen3_30b_instruct,3,SR,0.886990407673861,0.02997601918465228,0.02837729816147082
claude_4_5_haiku+gemma_3_12b_it+qwen3_30b_instruct,3,AR,0.8962829736211031,0.029976019184652286,0.03237410071942447
claude_4_5_haiku+gemma_3_12b_it+qwen3_4b_instruct,3,SR,0.8802957633892886,0.02727817745803357,0.0280775379696243
claude_4_5_haiku+gemma_3_12b_it+qwen3_4b_instruct,3,AR,0.871203037569944,0.03387290167865708,0.033473221422861715
claude_4_5_haiku+gemma_3_27b_it+gemma_3_4b_it,3,SR,0.8978816946442846,0.03340184994861253,0.04339385634349663
claude_4_5_haiku+gemma_3_27b_it+gemma_3_4b_it,3,AR,0.8965827338129496,0.03391572456320659,0.04350805070229532
claude_4_5_haiku+gemma_3_27b_it+gpt_120b_oss,3,SR,0.9211630695443646,0.012230215827338131,0.008233413269384496
claude_4_5_haiku+gemma_3_27b_it+gpt_120b_oss,3,AR,0.9064748201438849,-0.004076738609112708,0.011910471622701839
claude_4_5_haiku+gemma_3_27b_it+gpt_5,3,SR,0.924560351718625,0.011510791366906477,0.000719424460431659
claude_4_5_haiku+gemma_3_27b_it+gpt_5,3,AR,0.29696243005595524,-0.010791366906474819,0.011990407673860911
claude_4_5_haiku+gemma_3_27b_it+llama_4_maverick_17b_128e_instruct,3,SR,0.8919864108713029,0.018225419664268577,0.01702637889688249
claude_4_5_haiku+gemma_3_27b_it+llama_4_maverick_17b_128e_instruct,3,AR,0.8799960031974421,0.016067146282973614,0.018864908073541166
claude_4_5_haiku+gemma_3_27b_it+llama_4_scout_17b_16e_instruct,3,SR,0.8720023980815348,0.02062350119904076,0.025419664268585124
claude_4_5_haiku+gemma_3_27b_it+llama_4_scout_17b_16e_instruct,3,AR,0.8617106314948042,0.023021582733812954,0.02741806554756196
claude_4_5_haiku+gemma_3_27b_it+qwen3_235b_instruct,3,SR,0.8961830535571543,0.02817745803357314,0.0241806554756195
claude_4_5_haiku+gemma_3_27b_it+qwen3_235b_instruct,3,AR,0.8914868105515588,0.02877697841726619,0.025579536370903277
claude_4_5_haiku+gemma_3_27b_it+qwen3_30b_instruct,3,SR,0.8877897681854516,0.028477218225419668,0.03087529976019185
claude_4_5_haiku+gemma_3_27b_it+qwen3_30b_instruct,3,AR,0.8976818545163869,0.02877697841726619,0.03277378097521983
claude_4_5_haiku+gemma_3_27b_it+qwen3_4b_instruct,3,SR,0.8834932054356515,0.02967625899280575,0.030475619504396482
claude_4_5_haiku+gemma_3_27b_it+qwen3_4b_instruct,3,AR,0.871203037569944,0.03477218225419664,0.033573141486810544
claude_4_5_haiku+gemma_3_4b_it+gpt_120b_oss,3,SR,0.9249600319744204,0.013908872901678658,0.009512390087929657
claude_4_5_haiku+gemma_3_4b_it+gpt_120b_oss,3,AR,0.9080735411670664,-0.0026378896882493993,0.01254996003197442
claude_4_5_haiku+gemma_3_4b_it+gpt_5,3,SR,0.9283573141486811,0.013429256594724222,0.002238209432454037
claude_4_5_haiku+gemma_3_4b_it+gpt_5,3,AR,0.2973621103117506,-0.010791366906474819,0.011191047162270184
claude_4_5_haiku+gemma_3_4b_it+llama_4_maverick_17b_128e_instruct,3,SR,0.893185451638689,0.02086330935251799,0.030055955235811355
claude_4_5_haiku+gemma_3_4b_it+llama_4_maverick_17b_128e_instruct,3,AR,0.8799960031974421,0.017266187050359712,0.03085531574740208
claude_4_5_haiku+gemma_3_4b_it+llama_4_scout_17b_16e_instruct,3,SR,0.8748001598721024,0.02254196642685853,0.036131095123900885
claude_4_5_haiku+gemma_3_4b_it+llama_4_scout_17b_16e_instruct,3,AR,0.8615107913669064,0.02877697841726619,0.041167066346922465
claude_4_5_haiku+gemma_3_4b_it+qwen3_235b_instruct,3,SR,0.898880895283773,0.03297362110311751,0.0297761790567546
claude_4_5_haiku+gemma_3_4b_it+qwen3_235b_instruct,3,AR,0.8920863309352518,0.032673860911270974,0.03067545963229416
claude_4_5_haiku+gemma_3_4b_it+qwen3_30b_instruct,3,SR,0.8892885691446842,0.03687050359712231,0.045263788968824936
claude_4_5_haiku+gemma_3_4b_it+qwen3_30b_instruct,3,AR,0.8971822541966427,0.03357314148681055,0.04756195043964828
claude_4_5_haiku+gemma_3_4b_it+qwen3_4b_instruct,3,SR,0.8831934452438049,0.027877697841726626,0.039068745003996805
claude_4_5_haiku+gemma_3_4b_it+qwen3_4b_instruct,3,AR,0.8715027977617905,0.03447242206235012,0.04566346922462031
claude_4_5_haiku+gpt_120b_oss+gpt_5,3,SR,0.9201638689048761,-0.005095923261390887,-0.006694644284572342
claude_4_5_haiku+gpt_120b_oss+gpt_5,3,AR,0.2965627498001599,-0.011390887290167866,-0.011390887290167866
claude_4_5_haiku+gpt_120b_oss+llama_4_maverick_17b_128e_instruct,3,SR,0.9074740207833732,-0.009392486011191054,-0.0053956834532374156
claude_4_5_haiku+gpt_120b_oss+llama_4_maverick_17b_128e_instruct,3,AR,0.8828936850519584,-0.022182254196642687,-0.022581934452438047
claude_4_5_haiku+gpt_120b_oss+llama_4_scout_17b_16e_instruct,3,SR,0.8852917665867306,0.0027977617905675448,-0.0015987210231814565
claude_4_5_haiku+gpt_120b_oss+llama_4_scout_17b_16e_instruct,3,AR,0.8672062350119905,-0.023980815347721826,-0.022781774580335732
claude_4_5_haiku+gpt_120b_oss+qwen3_235b_instruct,3,SR,0.9066746602717826,-0.012949640287769786,-0.008553157474020785
claude_4_5_haiku+gpt_120b_oss+qwen3_235b_instruct,3,AR,0.8858912869704236,-0.02014388489208633,-0.02134292565947242
