committee,n_members,n_eval_judges,MPA,MRD,MSD
claude_4_5_sonnet+gemma_3_27b_it+qwen3_30b_instruct,3,9,0.9427609427609427,0.5740740740740741,-0.06787279393622572
claude_4_5_sonnet+gemma_3_27b_it+qwen3_4b_instruct,3,9,0.9225589225589227,0.7962962962962963,-0.05750936523500611
claude_4_5_sonnet+gemma_3_4b_it+gpt_120b_oss,3,9,0.9595959595959597,0.42592592592592593,0.0779868979535488
claude_4_5_sonnet+gemma_3_4b_it+gpt_5,3,9,0.9528619528619529,0.5185185185185185,0.10433032196138425
claude_4_5_sonnet+gemma_3_4b_it+llama_4_maverick_17b_128e_instruct,3,9,0.9191919191919192,0.8703703703703705,-0.04641077707702234
claude_4_5_sonnet+gemma_3_4b_it+llama_4_scout_17b_16e_instruct,3,9,0.9006734006734006,1.074074074074074,-0.03932905890979341
claude_4_5_sonnet+gemma_3_4b_it+qwen3_235b_instruct,3,9,0.9579124579124579,0.4444444444444444,0.008445097972342632
claude_4_5_sonnet+gemma_3_4b_it+qwen3_30b_instruct,3,9,0.8804713804713804,1.1481481481481481,-0.07647730819954106
claude_4_5_sonnet+gemma_3_4b_it+qwen3_4b_instruct,3,9,0.8922558922558922,1.1111111111111112,-0.07207873571703827
claude_4_5_sonnet+gpt_120b_oss+gpt_5,3,9,0.9276094276094276,0.7592592592592593,0.1569961946400335
claude_4_5_sonnet+gpt_120b_oss+llama_4_maverick_17b_128e_instruct,3,9,0.936026936026936,0.6481481481481481,0.07266660345130771
claude_4_5_sonnet+gpt_120b_oss+llama_4_scout_17b_16e_instruct,3,9,0.9494949494949496,0.5,0.08247213580060493
claude_4_5_sonnet+gpt_120b_oss+qwen3_235b_instruct,3,9,0.9444444444444444,0.5555555555555556,0.09228262265843092
claude_4_5_sonnet+gpt_120b_oss+qwen3_30b_instruct,3,9,0.9478114478114479,0.5185185185185186,0.06926398463059208
claude_4_5_sonnet+gpt_120b_oss+qwen3_4b_instruct,3,9,0.9393939393939394,0.6111111111111112,0.0741962738803444
claude_4_5_sonnet+gpt_5+llama_4_maverick_17b_128e_instruct,3,9,0.941077441077441,0.611111111111111,0.09937798499477271
claude_4_5_sonnet+gpt_5+llama_4_scout_17b_16e_instruct,3,9,0.9427609427609427,0.5925925925925926,0.10844070344982634
claude_4_5_sonnet+gpt_5+qwen3_235b_instruct,3,9,0.9377104377104377,0.6481481481481481,0.1176661256851928
claude_4_5_sonnet+gpt_5+qwen3_30b_instruct,3,9,0.9410774410774412,0.6111111111111112,0.09571175592971791
claude_4_5_sonnet+gpt_5+qwen3_4b_instruct,3,9,0.9377104377104377,0.6481481481481481,0.0999878958359156
claude_4_5_sonnet+llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct,3,9,0.9377104377104379,0.6296296296296297,-0.029741757421915538
claude_4_5_sonnet+llama_4_maverick_17b_128e_instruct+qwen3_235b_instruct,3,9,0.9377104377104377,0.6296296296296297,0.010661937516296438
claude_4_5_sonnet+llama_4_maverick_17b_128e_instruct+qwen3_30b_instruct,3,9,0.941077441077441,0.5925925925925926,-0.052829874085925446
claude_4_5_sonnet+llama_4_maverick_17b_128e_instruct+qwen3_4b_instruct,3,9,0.9377104377104377,0.6296296296296297,-0.047559502464841544
claude_4_5_sonnet+llama_4_scout_17b_16e_instruct+qwen3_235b_instruct,3,9,0.9478114478114479,0.5185185185185186,0.01626327271245208
claude_4_5_sonnet+llama_4_scout_17b_16e_instruct+qwen3_30b_instruct,3,9,0.9393939393939394,0.6296296296296297,-0.038105999814989605
claude_4_5_sonnet+llama_4_scout_17b_16e_instruct+qwen3_4b_instruct,3,9,0.9427609427609427,0.5740740740740741,-0.026751162357690504
claude_4_5_sonnet+qwen3_235b_instruct+qwen3_30b_instruct,3,9,0.9410774410774412,0.5925925925925926,0.000980060871894151
claude_4_5_sonnet+qwen3_235b_instruct+qwen3_4b_instruct,3,9,0.9377104377104377,0.6296296296296297,0.003909332772142253
claude_4_5_sonnet+qwen3_30b_instruct+qwen3_4b_instruct,3,9,0.9461279461279462,0.5370370370370371,-0.06680379730208588
