committee,n_members,MSD-SP,MSD-FSP
claude_4_5_haiku+llama_4_scout_17b_16e_instruct+qwen3_235b_instruct,3,0.01793018088676399,0.013312252935388444
claude_4_5_haiku+llama_4_scout_17b_16e_instruct+qwen3_30b_instruct,3,0.021424664412202914,0.015107876182948113
claude_4_5_haiku+llama_4_scout_17b_16e_instruct+qwen3_4b_instruct,3,0.02377215216564472,0.018899430176910408
claude_4_5_haiku+qwen3_235b_instruct+qwen3_30b_instruct,3,0.022016004729716886,0.01659964145550533
claude_4_5_haiku+qwen3_235b_instruct+qwen3_4b_instruct,3,0.021618109207939273,0.018421743440597892
claude_4_5_haiku+qwen3_30b_instruct+qwen3_4b_instruct,3,0.023903812277373353,0.017916939782509855
claude_4_5_sonnet+gemma_3_12b_it+gemma_3_27b_it,3,0.02320751499036261,0.01797615399037996
claude_4_5_sonnet+gemma_3_12b_it+gemma_3_4b_it,3,0.014993188184786399,0.010353271023638361
claude_4_5_sonnet+gemma_3_12b_it+gpt_120b_oss,3,0.02440352528348766,0.018021579334317115
claude_4_5_sonnet+gemma_3_12b_it+gpt_5,3,0.02190336525537137,0.016383218487935343
claude_4_5_sonnet+gemma_3_12b_it+llama_4_maverick_17b_128e_instruct,3,0.024319892871811476,0.01819309200966086
claude_4_5_sonnet+gemma_3_12b_it+llama_4_scout_17b_16e_instruct,3,0.021798300040207753,0.01710648049765416
claude_4_5_sonnet+gemma_3_12b_it+qwen3_235b_instruct,3,0.02273423618361407,0.015585156436022395
claude_4_5_sonnet+gemma_3_12b_it+qwen3_30b_instruct,3,0.023149441950831785,0.018212348550899753
claude_4_5_sonnet+gemma_3_12b_it+qwen3_4b_instruct,3,0.023396419274451054,0.0194254945414531
claude_4_5_sonnet+gemma_3_27b_it+gemma_3_4b_it,3,0.012952417323403808,0.008706363486915628
claude_4_5_sonnet+gemma_3_27b_it+gpt_120b_oss,3,0.022551621087735722,0.016099182585327762
claude_4_5_sonnet+gemma_3_27b_it+gpt_5,3,0.020915758432325515,0.014506811336397616
claude_4_5_sonnet+gemma_3_27b_it+llama_4_maverick_17b_128e_instruct,3,0.021355239707090568,0.015608976555847025
claude_4_5_sonnet+gemma_3_27b_it+llama_4_scout_17b_16e_instruct,3,0.020057096608414392,0.014882717324728623
claude_4_5_sonnet+gemma_3_27b_it+qwen3_235b_instruct,3,0.020791906354167958,0.013591876322156412
claude_4_5_sonnet+gemma_3_27b_it+qwen3_30b_instruct,3,0.020847532958108747,0.01607251406412435
claude_4_5_sonnet+gemma_3_27b_it+qwen3_4b_instruct,3,0.02118124978308016,0.01742863247135323
claude_4_5_sonnet+gemma_3_4b_it+gpt_120b_oss,3,0.007392548730624119,0.005423747921083782
claude_4_5_sonnet+gemma_3_4b_it+gpt_5,3,0.002791045415764987,0.003820432938506165
claude_4_5_sonnet+gemma_3_4b_it+llama_4_maverick_17b_128e_instruct,3,0.006079053262712785,0.0029174003547427106
claude_4_5_sonnet+gemma_3_4b_it+llama_4_scout_17b_16e_instruct,3,0.003809207198966986,0.0008605502829227593
claude_4_5_sonnet+gemma_3_4b_it+qwen3_235b_instruct,3,0.004252313775289822,0.0022366138301492767
claude_4_5_sonnet+gemma_3_4b_it+qwen3_30b_instruct,3,0.007860163594549621,0.0036281634216706496
claude_4_5_sonnet+gemma_3_4b_it+qwen3_4b_instruct,3,0.0071828105448145845,0.004160640228555211
claude_4_5_sonnet+gpt_120b_oss+gpt_5,3,0.021563186251049162,0.019977819015214705
claude_4_5_sonnet+gpt_120b_oss+llama_4_maverick_17b_128e_instruct,3,0.024967585667375305,0.019828543697836973
claude_4_5_sonnet+gpt_120b_oss+llama_4_scout_17b_16e_instruct,3,0.020545632957713205,0.016930563637068866
claude_4_5_sonnet+gpt_120b_oss+qwen3_235b_instruct,3,0.023443975548156606,0.01836387605241939
claude_4_5_sonnet+gpt_120b_oss+qwen3_30b_instruct,3,0.023018446005015496,0.018101901235962344
claude_4_5_sonnet+gpt_120b_oss+qwen3_4b_instruct,3,0.021063795767507634,0.019859687002638002
claude_4_5_sonnet+gpt_5+llama_4_maverick_17b_128e_instruct,3,0.02228889590675424,0.017542514361115306
claude_4_5_sonnet+gpt_5+llama_4_scout_17b_16e_instruct,3,0.01703397738387243,0.014606108287084009
claude_4_5_sonnet+gpt_5+qwen3_235b_instruct,3,0.022511410247497435,0.01668823682219131
claude_4_5_sonnet+gpt_5+qwen3_30b_instruct,3,0.021256381231126602,0.016686613477194592
claude_4_5_sonnet+gpt_5+qwen3_4b_instruct,3,0.01790414336977136,0.018497891400331312
claude_4_5_sonnet+llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct,3,0.015544513791784413,0.010974696241452659
claude_4_5_sonnet+llama_4_maverick_17b_128e_instruct+qwen3_235b_instruct,3,0.02022864411340576,0.014618613642452951
claude_4_5_sonnet+llama_4_maverick_17b_128e_instruct+qwen3_30b_instruct,3,0.02043840242120611,0.01523144944819255
claude_4_5_sonnet+llama_4_maverick_17b_128e_instruct+qwen3_4b_instruct,3,0.020863300196860966,0.01739344579574109
claude_4_5_sonnet+llama_4_scout_17b_16e_instruct+qwen3_235b_instruct,3,0.017167662006537354,0.012523490522962661
claude_4_5_sonnet+llama_4_scout_17b_16e_instruct+qwen3_30b_instruct,3,0.01874088402366865,0.01444685043934988
claude_4_5_sonnet+llama_4_scout_17b_16e_instruct+qwen3_4b_instruct,3,0.021056151157471913,0.018289830271959573
claude_4_5_sonnet+qwen3_235b_instruct+qwen3_30b_instruct,3,0.02055581208297813,0.015091488576445437
claude_4_5_sonnet+qwen3_235b_instruct+qwen3_4b_instruct,3,0.019143519694207134,0.016322116981280006
claude_4_5_sonnet+qwen3_30b_instruct+qwen3_4b_instruct,3,0.02065252416789794,0.017010508507273547
gemma_3_12b_it+gemma_3_27b_it+gemma_3_4b_it,3,0.01935591845201247,0.012628518854606387
gemma_3_12b_it+gemma_3_27b_it+gpt_120b_oss,3,0.018071598757442874,0.011488533241049627
gemma_3_12b_it+gemma_3_27b_it+gpt_5,3,0.009917738859367605,0.00751785790746304
gemma_3_12b_it+gemma_3_27b_it+llama_4_maverick_17b_128e_instruct,3,0.028884151549661397,0.02270631787591876
gemma_3_12b_it+gemma_3_27b_it+llama_4_scout_17b_16e_instruct,3,0.025672971659299125,0.02009392770473237
gemma_3_12b_it+gemma_3_27b_it+qwen3_235b_instruct,3,0.021261301281134584,0.01633679851791573
gemma_3_12b_it+gemma_3_27b_it+qwen3_30b_instruct,3,0.023171323988382776,0.01734674857100633
gemma_3_12b_it+gemma_3_27b_it+qwen3_4b_instruct,3,0.023665869296551508,0.018029207389017966
