committee,n_members,n_eval_judges,MPA,MRD,MSD
claude_4_5_sonnet+gemma_3_4b_it+qwen3_235b_instruct,3,9,0.9612794612794614,0.42592592592592593,0.008663743982633686
claude_4_5_sonnet+gemma_3_4b_it+qwen3_30b_instruct,3,9,0.8804713804713804,1.1666666666666667,-0.07685162328128274
claude_4_5_sonnet+gemma_3_4b_it+qwen3_4b_instruct,3,9,0.8922558922558923,1.1296296296296295,-0.06947516318973009
claude_4_5_sonnet+gpt_120b_oss+gpt_5,3,9,0.9393939393939392,0.6296296296296295,0.154859448402941
claude_4_5_sonnet+gpt_120b_oss+llama_4_maverick_17b_128e_instruct,3,9,0.9511784511784511,0.5,0.07061713746334627
claude_4_5_sonnet+gpt_120b_oss+llama_4_scout_17b_16e_instruct,3,9,0.9528619528619529,0.48148148148148157,0.0809281762419723
claude_4_5_sonnet+gpt_120b_oss+qwen3_235b_instruct,3,9,0.9478114478114477,0.5370370370370371,0.09103571300633581
claude_4_5_sonnet+gpt_120b_oss+qwen3_30b_instruct,3,9,0.9511784511784511,0.5000000000000001,0.06690170127144429
claude_4_5_sonnet+gpt_120b_oss+qwen3_4b_instruct,3,9,0.9427609427609427,0.5925925925925926,0.07346760079918294
claude_4_5_sonnet+gpt_5+llama_4_maverick_17b_128e_instruct,3,9,0.941077441077441,0.611111111111111,0.09617111575692909
claude_4_5_sonnet+gpt_5+llama_4_scout_17b_16e_instruct,3,9,0.9427609427609427,0.5925925925925926,0.10577036020660231
claude_4_5_sonnet+gpt_5+qwen3_235b_instruct,3,9,0.9377104377104377,0.6481481481481481,0.11513118480830989
claude_4_5_sonnet+gpt_5+qwen3_30b_instruct,3,9,0.941077441077441,0.611111111111111,0.09237301856261167
claude_4_5_sonnet+gpt_5+qwen3_4b_instruct,3,9,0.9377104377104377,0.6481481481481481,0.09821560493116599
claude_4_5_sonnet+llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct,3,9,0.9377104377104377,0.6481481481481483,-0.03192899228750464
claude_4_5_sonnet+llama_4_maverick_17b_128e_instruct+qwen3_235b_instruct,3,9,0.941077441077441,0.611111111111111,0.0098031177200551
claude_4_5_sonnet+llama_4_maverick_17b_128e_instruct+qwen3_30b_instruct,3,9,0.9444444444444444,0.574074074074074,-0.05546592586748116
claude_4_5_sonnet+llama_4_maverick_17b_128e_instruct+qwen3_4b_instruct,3,9,0.941077441077441,0.611111111111111,-0.04808615817657989
claude_4_5_sonnet+llama_4_scout_17b_16e_instruct+qwen3_235b_instruct,3,9,0.9511784511784511,0.5000000000000001,0.015601368599743997
claude_4_5_sonnet+llama_4_scout_17b_16e_instruct+qwen3_30b_instruct,3,9,0.9427609427609427,0.611111111111111,-0.03946907822405575
claude_4_5_sonnet+llama_4_scout_17b_16e_instruct+qwen3_4b_instruct,3,9,0.9511784511784511,0.5000000000000001,-0.025874412429462024
claude_4_5_sonnet+qwen3_235b_instruct+qwen3_30b_instruct,3,9,0.9444444444444444,0.574074074074074,-0.0002066013118402873
claude_4_5_sonnet+qwen3_235b_instruct+qwen3_4b_instruct,3,9,0.941077441077441,0.611111111111111,0.004380034865362981
claude_4_5_sonnet+qwen3_30b_instruct+qwen3_4b_instruct,3,9,0.9444444444444444,0.574074074074074,-0.0664106870630032
gemma_3_12b_it+gemma_3_27b_it+gemma_3_4b_it,3,9,0.9276094276094278,0.7962962962962963,-0.10858226619484392
gemma_3_12b_it+gemma_3_27b_it+gpt_120b_oss,3,9,0.9444444444444444,0.574074074074074,-0.05498281376834951
gemma_3_12b_it+gemma_3_27b_it+gpt_5,3,9,0.9461279461279462,0.5555555555555556,-0.050338742550824295
gemma_3_12b_it+gemma_3_27b_it+llama_4_maverick_17b_128e_instruct,3,9,0.9545454545454545,0.462962962962963,-0.10413013661341275
gemma_3_12b_it+gemma_3_27b_it+llama_4_scout_17b_16e_instruct,3,9,0.9444444444444444,0.574074074074074,-0.09921947820483838
gemma_3_12b_it+gemma_3_27b_it+qwen3_235b_instruct,3,9,0.9427609427609427,0.5925925925925926,-0.08092193908754748
gemma_3_12b_it+gemma_3_27b_it+qwen3_30b_instruct,3,9,0.9461279461279462,0.5555555555555556,-0.11556901702469485
gemma_3_12b_it+gemma_3_27b_it+qwen3_4b_instruct,3,9,0.9511784511784511,0.5,-0.1074604723915204
gemma_3_12b_it+gemma_3_4b_it+gpt_120b_oss,3,9,0.9057239057239056,1.0370370370370372,-0.05854548896895725
gemma_3_12b_it+gemma_3_4b_it+gpt_5,3,9,0.925925925925926,0.8148148148148148,-0.05249797153074097
gemma_3_12b_it+gemma_3_4b_it+llama_4_maverick_17b_128e_instruct,3,9,0.8855218855218855,1.1296296296296295,-0.11733088558933641
gemma_3_12b_it+gemma_3_4b_it+llama_4_scout_17b_16e_instruct,3,9,0.8905723905723906,1.2037037037037035,-0.10191858832843874
gemma_3_12b_it+gemma_3_4b_it+qwen3_235b_instruct,3,9,0.9040404040404041,1.0555555555555556,-0.09348716158453345
gemma_3_12b_it+gemma_3_4b_it+qwen3_30b_instruct,3,9,0.8737373737373737,1.2407407407407407,-0.11923339894757055
gemma_3_12b_it+gemma_3_4b_it+qwen3_4b_instruct,3,9,0.9040404040404041,1.0555555555555556,-0.10666586307471398
gemma_3_12b_it+gpt_120b_oss+gpt_5,3,9,0.9562289562289562,0.4444444444444444,0.0893112153237411
gemma_3_12b_it+gpt_120b_oss+llama_4_maverick_17b_128e_instruct,3,9,0.9528619528619527,0.48148148148148145,-0.04909255547149573
gemma_3_12b_it+gpt_120b_oss+llama_4_scout_17b_16e_instruct,3,9,0.9545454545454545,0.462962962962963,-0.025990143171243922
gemma_3_12b_it+gpt_120b_oss+qwen3_235b_instruct,3,9,0.9494949494949496,0.5185185185185186,0.0015078939253572083
gemma_3_12b_it+gpt_120b_oss+qwen3_30b_instruct,3,9,0.9528619528619527,0.48148148148148145,-0.06186920805857562
gemma_3_12b_it+gpt_120b_oss+qwen3_4b_instruct,3,9,0.9494949494949496,0.5185185185185186,-0.040559202765791294
gemma_3_12b_it+gpt_5+llama_4_maverick_17b_128e_instruct,3,9,0.9579124579124579,0.42592592592592593,-0.04397298718364187
gemma_3_12b_it+gpt_5+llama_4_scout_17b_16e_instruct,3,9,0.9595959595959597,0.40740740740740744,-0.02057291378343991
gemma_3_12b_it+gpt_5+qwen3_235b_instruct,3,9,0.9545454545454545,0.462962962962963,0.0055991592032442255
gemma_3_12b_it+gpt_5+qwen3_30b_instruct,3,9,0.9579124579124579,0.425925925925926,-0.05770788722971882
gemma_3_12b_it+gpt_5+qwen3_4b_instruct,3,9,0.9343434343434345,0.6851851851851852,-0.03598265854963065
gemma_3_12b_it+llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct,3,9,0.9562289562289562,0.4444444444444444,-0.08763367938119708
gemma_3_12b_it+llama_4_maverick_17b_128e_instruct+qwen3_235b_instruct,3,9,0.9511784511784511,0.5,-0.08525207914002295
gemma_3_12b_it+llama_4_maverick_17b_128e_instruct+qwen3_30b_instruct,3,9,0.9545454545454545,0.462962962962963,-0.11458288069276588
gemma_3_12b_it+llama_4_maverick_17b_128e_instruct+qwen3_4b_instruct,3,9,0.9427609427609427,0.5925925925925926,-0.09348803625716949
gemma_3_12b_it+llama_4_scout_17b_16e_instruct+qwen3_235b_instruct,3,9,0.9528619528619529,0.48148148148148145,-0.05881636953822995
gemma_3_12b_it+llama_4_scout_17b_16e_instruct+qwen3_30b_instruct,3,9,0.9478114478114479,0.537037037037037,-0.10565592089565115
gemma_3_12b_it+llama_4_scout_17b_16e_instruct+qwen3_4b_instruct,3,9,0.9444444444444444,0.574074074074074,-0.09457237148246324
gemma_3_12b_it+qwen3_235b_instruct+qwen3_30b_instruct,3,9,0.9511784511784511,0.5,-0.09064205003683762
gemma_3_12b_it+qwen3_235b_instruct+qwen3_4b_instruct,3,9,0.9393939393939394,0.6296296296296297,-0.06635455530394406
gemma_3_12b_it+qwen3_30b_instruct+qwen3_4b_instruct,3,9,0.9461279461279462,0.5555555555555555,-0.11187658441406508
gemma_3_27b_it+gemma_3_4b_it+gpt_120b_oss,3,9,0.8855218855218855,1.1296296296296298,-0.08729673927045425
gemma_3_27b_it+gemma_3_4b_it+gpt_5,3,9,0.8905723905723906,1.0740740740740742,-0.08122418269763129
gemma_3_27b_it+gemma_3_4b_it+llama_4_maverick_17b_128e_instruct,3,9,0.8804713804713804,1.1851851851851851,-0.14152901456656958
gemma_3_27b_it+gemma_3_4b_it+llama_4_scout_17b_16e_instruct,3,9,0.9006734006734006,1.0925925925925926,-0.12654833938753413
gemma_3_27b_it+gemma_3_4b_it+qwen3_235b_instruct,3,9,0.8838383838383838,1.148148148148148,-0.11925966734396568
gemma_3_27b_it+gemma_3_4b_it+qwen3_30b_instruct,3,9,0.8804713804713804,1.1666666666666667,-0.14376244318140205
gemma_3_27b_it+gemma_3_4b_it+qwen3_4b_instruct,3,9,0.8838383838383838,1.1481481481481481,-0.1304591275497591
gemma_3_27b_it+gpt_120b_oss+gpt_5,3,9,0.9545454545454545,0.4629629629629629,0.07830938197192859
gemma_3_27b_it+gpt_120b_oss+llama_4_maverick_17b_128e_instruct,3,9,0.9427609427609427,0.5925925925925926,-0.06646897373050469
gemma_3_27b_it+gpt_120b_oss+llama_4_scout_17b_16e_instruct,3,9,0.9528619528619527,0.48148148148148145,-0.047292739573281097
gemma_3_27b_it+gpt_120b_oss+qwen3_235b_instruct,3,9,0.9478114478114479,0.537037037037037,-0.014475904331971228
gemma_3_27b_it+gpt_120b_oss+qwen3_30b_instruct,3,9,0.9461279461279462,0.5555555555555556,-0.07949438883259459
gemma_3_27b_it+gpt_120b_oss+qwen3_4b_instruct,3,9,0.9427609427609429,0.5925925925925926,-0.06562775754036748
gemma_3_27b_it+gpt_5+llama_4_maverick_17b_128e_instruct,3,9,0.9478114478114479,0.537037037037037,-0.06206053610246752
gemma_3_27b_it+gpt_5+llama_4_scout_17b_16e_instruct,3,9,0.9579124579124579,0.42592592592592593,-0.04210459869427412
gemma_3_27b_it+gpt_5+qwen3_235b_instruct,3,9,0.9528619528619529,0.48148148148148145,-0.010699011473762614
gemma_3_27b_it+gpt_5+qwen3_30b_instruct,3,9,0.9511784511784511,0.5,-0.07649128081102781
gemma_3_27b_it+gpt_5+qwen3_4b_instruct,3,9,0.9393939393939394,0.6296296296296295,-0.06165595700107921
gemma_3_27b_it+llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct,3,9,0.9461279461279462,0.5555555555555556,-0.10413178157394874
