Committee,Size,Members,Method,MPA,MRD,MSD,MSD_norm,MIPA
gemma_3_27b_it+gpt_120b_oss+llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct+qwen3_235b_instruct+qwen3_4b_instruct,6,"Gemma-27B, GPT-120B, Llama-Mav, Llama-Scout, Qwen-235B, Qwen-4B",SR,0.8787878787878788,1.1666666666666667,0.022720271102895873,0.02616224064834385,0.8172856102615806
gemma_3_27b_it+gpt_120b_oss+llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct+qwen3_235b_instruct+qwen3_4b_instruct,6,"Gemma-27B, GPT-120B, Llama-Mav, Llama-Scout, Qwen-235B, Qwen-4B",AR,0.8333333333333334,1.5,0.039741219963031406,0.04531606145541667,0.8265837674340447
gemma_3_27b_it+gpt_120b_oss+llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct+qwen3_235b_instruct+qwen3_4b_instruct,6,"Gemma-27B, GPT-120B, Llama-Mav, Llama-Scout, Qwen-235B, Qwen-4B",DA,0.8333333333333334,1.5,0.02966471554734032,0.03407466322832662,0.7098806923206183
gemma_3_27b_it+gpt_120b_oss+llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct+qwen3_235b_instruct+qwen3_4b_instruct,6,"Gemma-27B, GPT-120B, Llama-Mav, Llama-Scout, Qwen-235B, Qwen-4B",PWC,0.6363636363636364,3.3333333333333335,0.0,-0.0011875910163837756,0.22517223995967064
gemma_3_27b_it+gpt_120b_oss+llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct+qwen3_30b_instruct+qwen3_4b_instruct,6,"Gemma-27B, GPT-120B, Llama-Mav, Llama-Scout, Qwen-30B, Qwen-4B",SR,0.8181818181818182,1.5,0.031089546108030396,0.03565481077148361,0.8108161093373663
gemma_3_27b_it+gpt_120b_oss+llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct+qwen3_30b_instruct+qwen3_4b_instruct,6,"Gemma-27B, GPT-120B, Llama-Mav, Llama-Scout, Qwen-30B, Qwen-4B",AR,0.7424242424242424,2.0,0.05416923392893816,0.061661381197928244,0.8205063574749342
gemma_3_27b_it+gpt_120b_oss+llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct+qwen3_30b_instruct+qwen3_4b_instruct,6,"Gemma-27B, GPT-120B, Llama-Mav, Llama-Scout, Qwen-30B, Qwen-4B",DA,0.803030303030303,1.6666666666666667,0.034884815499418076,0.03999922144563655,0.7158180697921918
gemma_3_27b_it+gpt_120b_oss+llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct+qwen3_30b_instruct+qwen3_4b_instruct,6,"Gemma-27B, GPT-120B, Llama-Mav, Llama-Scout, Qwen-30B, Qwen-4B",PWC,0.6363636363636364,3.3333333333333335,1.3877787807814457e-17,-0.0009665731540741684,0.22192348624880973
gemma_3_27b_it+gpt_120b_oss+llama_4_maverick_17b_128e_instruct+qwen3_235b_instruct+qwen3_30b_instruct+qwen3_4b_instruct,6,"Gemma-27B, GPT-120B, Llama-Mav, Qwen-235B, Qwen-30B, Qwen-4B",SR,0.9242424242424242,0.8333333333333334,0.03807249948654757,0.04325147804653351,0.8260796504789111
gemma_3_27b_it+gpt_120b_oss+llama_4_maverick_17b_128e_instruct+qwen3_235b_instruct+qwen3_30b_instruct+qwen3_4b_instruct,6,"Gemma-27B, GPT-120B, Llama-Mav, Qwen-235B, Qwen-30B, Qwen-4B",AR,0.8484848484848485,1.3333333333333333,0.05232080509344835,0.059354610090813,0.8296644821598611
