Committee,Size,Method,MRA,MRSPB_median,MRSPB_mean,MRSPB_median_aware,MRSPB_mean_aware
gemma_3_12b_it+qwen3_235b_instruct+qwen3_30b_instruct,3,AR,0.9017785771382894,0.008926192379429793,0.007682742694733106,0.011540767386091125,0.010034829279433591
gemma_3_12b_it+qwen3_235b_instruct+qwen3_4b_instruct,3,SR,0.8914868105515588,0.008792965627498012,0.005906386002309268,0.010491606714628302,0.0076224734498115815
gemma_3_12b_it+qwen3_235b_instruct+qwen3_4b_instruct,3,AR,0.8987809752198241,0.006661337596589406,0.0075051070254907315,0.009592326139088725,0.00993490921548476
gemma_3_12b_it+qwen3_30b_instruct+qwen3_4b_instruct,3,SR,0.8851918465227818,0.009725552891020506,0.016475708322231098,0.012140287769784167,0.02002683567431769
gemma_3_12b_it+qwen3_30b_instruct+qwen3_4b_instruct,3,AR,0.8998800959232613,0.009192645883293354,0.016786570743405265,0.011990407673860906,0.020554984583761562
gemma_3_27b_it+gemma_3_4b_it+gpt_120b_oss,3,SR,0.9026778577138289,0.03264055422328803,0.030513367084110486,0.03297362110311751,0.033673061550759394
gemma_3_27b_it+gemma_3_4b_it+gpt_120b_oss,3,AR,0.9035771382893685,0.03264055422328803,0.03239186428634869,0.03342326139088729,0.03592126298960831
gemma_3_27b_it+gemma_3_4b_it+llama_4_maverick_17b_128e_instruct,3,SR,0.8970823341326939,0.03264055422328803,0.028634869881872273,0.03177458033573141,0.03137490007993605
gemma_3_27b_it+gemma_3_4b_it+llama_4_maverick_17b_128e_instruct,3,AR,0.9001798561151079,0.03130828670397015,0.029545252686739493,0.030575539568345314,0.03242406075139888
gemma_3_27b_it+gemma_3_4b_it+llama_4_scout_17b_16e_instruct,3,SR,0.8976818545163869,0.0318411937116973,0.036095567990052396,0.0337230215827338,0.04066746602717825
gemma_3_27b_it+gemma_3_4b_it+llama_4_scout_17b_16e_instruct,3,AR,0.8987809752198241,0.0319744204636291,0.03690381028510525,0.033872901678657086,0.04156674660271783
gemma_3_27b_it+gemma_3_4b_it+qwen3_235b_instruct,3,SR,0.8983812949640287,0.03264055422328803,0.0285993427480238,0.03162470023980815,0.03181740322028091
gemma_3_27b_it+gemma_3_4b_it+qwen3_235b_instruct,3,AR,0.9003796962430056,0.031841193711697316,0.028288480326849632,0.030575539568345314,0.03134635149023637
gemma_3_27b_it+gemma_3_4b_it+qwen3_30b_instruct,3,SR,0.8971822541966427,0.03117505995203837,0.038724575894839686,0.03357314148681055,0.04430741121388604
gemma_3_27b_it+gemma_3_4b_it+qwen3_30b_instruct,3,AR,0.9000799360511591,0.030508926192379424,0.03796962430055955,0.03282374100719425,0.04340813063834647
gemma_3_27b_it+gemma_3_4b_it+qwen3_4b_instruct,3,SR,0.8949840127897681,0.030775379696243,0.038591349142907884,0.03342326139088728,0.04426458832933652
gemma_3_27b_it+gemma_3_4b_it+qwen3_4b_instruct,3,AR,0.8980815347721822,0.030908606448174794,0.03881339372946089,0.03327338129496403,0.04439305698298505
gemma_3_27b_it+gpt_120b_oss+llama_4_maverick_17b_128e_instruct,3,SR,0.9056754596322941,-0.0026378896882493924,0.0041966426858513275,-0.002997601918465223,0.005288626241863652
gemma_3_27b_it+gpt_120b_oss+llama_4_maverick_17b_128e_instruct,3,AR,0.9079736211031175,-0.004316546762589912,0.004822808419930727,-0.004346522781774581,0.006073712458604552
gemma_3_27b_it+gpt_120b_oss+llama_4_scout_17b_16e_instruct,3,SR,0.9114708233413269,-0.0020383693045563506,0.008459898747668537,0.0002997601918465209,0.010662898252826312
gemma_3_27b_it+gpt_120b_oss+llama_4_scout_17b_16e_instruct,3,AR,0.90517585931255,0.0019184652278177589,0.008020250466293635,0.0035971223021582788,0.010134749343382437
gemma_3_27b_it+gpt_120b_oss+qwen3_235b_instruct,3,SR,0.9158673061550759,-0.0022781774580335618,0.0059907629451994016,-0.0011990407673860976,0.007672433481785997
gemma_3_27b_it+gpt_120b_oss+qwen3_235b_instruct,3,AR,0.9162669864108713,-0.0013189448441247031,0.005333510969002579,-0.001049160671462837,0.006844524380495595
gemma_3_27b_it+gpt_120b_oss+qwen3_30b_instruct,3,SR,0.9093725019984013,0.006661337596589406,0.008490984989785955,0.008907159986296681,0.010827052643599414
gemma_3_27b_it+gpt_120b_oss+qwen3_30b_instruct,3,AR,0.908273381294964,0.007327471356248325,0.008939515054622963,0.009249743062692689,0.011398024437592783
gemma_3_27b_it+gpt_120b_oss+qwen3_4b_instruct,3,SR,0.9083733013589129,0.008393285371702641,0.011368682831512572,0.011476533059266866,0.014495546420006845
