Committee,Size,Method,MRA,MRSPB_median,MRSPB_mean,MRSPB_median_aware,MRSPB_mean_aware
gemma_3_12b_it+gemma_3_27b_it+qwen3_235b_instruct,3,SR,0.8967825739408474,0.03197442046362908,0.014965805133670828,0.030875299760191835,0.016244147539111558
gemma_3_12b_it+gemma_3_27b_it+qwen3_235b_instruct,3,AR,0.9019784172661871,0.031441513455901945,0.014876987299049649,0.030275779376498807,0.016072856000913557
gemma_3_12b_it+gemma_3_27b_it+qwen3_30b_instruct,3,SR,0.8935851318944844,0.03250732747135625,0.023492317257305263,0.03462230215827339,0.026849948612538543
gemma_3_12b_it+gemma_3_27b_it+qwen3_30b_instruct,3,AR,0.9008792965627498,0.030242472688515848,0.02549071853628208,0.03267386091127099,0.029205207262761216
gemma_3_12b_it+gemma_3_27b_it+qwen3_4b_instruct,3,SR,0.8921862509992007,0.03130828670397015,0.024513722355448967,0.03402278177458032,0.028220280918122634
gemma_3_12b_it+gemma_3_27b_it+qwen3_4b_instruct,3,AR,0.8996802557953637,0.030109245936584053,0.02455813127275956,0.03237410071942445,0.028091812264474127
gemma_3_12b_it+gemma_3_4b_it+gpt_120b_oss,3,SR,0.9059752198241406,0.037569944044764186,0.03236077804423128,0.03806954436450839,0.03582134292565948
gemma_3_12b_it+gemma_3_4b_it+gpt_120b_oss,3,AR,0.9041766586730615,0.0418332001065814,0.03512301270095034,0.042565947242206234,0.03896882494004796
gemma_3_12b_it+gemma_3_4b_it+llama_4_maverick_17b_128e_instruct,3,SR,0.8991806554756195,0.039568345323741,0.030895283772981605,0.03866906474820145,0.033872901678657086
gemma_3_12b_it+gemma_3_4b_it+llama_4_maverick_17b_128e_instruct,3,AR,0.9010791366906474,0.0406341593391953,0.03076649791278088,0.039568345323741,0.03367306155075939
gemma_3_12b_it+gemma_3_4b_it+llama_4_scout_17b_16e_instruct,3,SR,0.8902877697841727,0.04010125233146815,0.03800515143440802,0.04196642685851319,0.04281574740207833
gemma_3_12b_it+gemma_3_4b_it+llama_4_scout_17b_16e_instruct,3,AR,0.8980815347721822,0.04196642685851318,0.039608313349320544,0.04391486810551558,0.044614308553157477
gemma_3_12b_it+gemma_3_4b_it+qwen3_235b_instruct,3,SR,0.8989808153477218,0.039435118571809216,0.029531930011546307,0.038069544364508406,0.03274523238552016
gemma_3_12b_it+gemma_3_4b_it+qwen3_235b_instruct,3,AR,0.9005795363709033,0.040900612843058876,0.030464517275068825,0.039568345323741,0.0338015302044079
gemma_3_12b_it+gemma_3_4b_it+qwen3_30b_instruct,3,SR,0.896382893685052,0.040767386091127095,0.03947952748911981,0.042865707434052755,0.045078223135777085
gemma_3_12b_it+gemma_3_4b_it+qwen3_30b_instruct,3,AR,0.9007793764988009,0.041699973354649617,0.04156674660271783,0.04406474820143885,0.047533401849948614
gemma_3_12b_it+gemma_3_4b_it+qwen3_4b_instruct,3,SR,0.8919864108713029,0.0394351185718092,0.040589750421884695,0.04181654676258993,0.04643428114651136
gemma_3_12b_it+gemma_3_4b_it+qwen3_4b_instruct,3,AR,0.8993804956035172,0.04236610711430855,0.041788791189270806,0.044664268585131894,0.04776179056754596
gemma_3_12b_it+gpt_120b_oss+llama_4_maverick_17b_128e_instruct,3,SR,0.9054756195043965,-0.004676258992805743,0.0025668354205524526,-0.005395683453237404,0.0032474020783373352
gemma_3_12b_it+gpt_120b_oss+llama_4_maverick_17b_128e_instruct,3,AR,0.9094724220623501,-0.0034772182254196593,0.004498623323563373,-0.0037470023980815254,0.005688306497659015
gemma_3_12b_it+gpt_120b_oss+llama_4_scout_17b_16e_instruct,3,SR,0.9039768185451639,-0.003836930455635476,0.004529709565680789,-0.0028477218225419626,0.0057382665296334305
gemma_3_12b_it+gpt_120b_oss+llama_4_scout_17b_16e_instruct,3,AR,0.9072741806554756,-0.00047961630695443624,0.009112709832134294,0.0017985611510791394,0.011497944501541624
gemma_3_12b_it+gpt_120b_oss+qwen3_235b_instruct,3,SR,0.9155675459632294,-0.0035971223021582788,0.0009769961808331108,-0.004646282973621102,0.0013060979787598477
gemma_3_12b_it+gpt_120b_oss+qwen3_235b_instruct,3,AR,0.9172661870503597,-0.0017985611510791533,0.0033528732569499953,-0.0022482014388489208,0.00433224848692475
gemma_3_12b_it+gpt_120b_oss+qwen3_30b_instruct,3,SR,0.9058752997601919,0.00666133759658942,0.006554756195043976,0.007879410757108615,0.008371873929427892
gemma_3_12b_it+gpt_120b_oss+qwen3_30b_instruct,3,AR,0.9087729816147082,0.008792965627498012,0.010831334932054357,0.011305241521068862,0.013817517414639722
gemma_3_12b_it+gpt_120b_oss+qwen3_4b_instruct,3,SR,0.9046762589928058,0.008792965627497984,0.009117150723865352,0.010791366906474809,0.011647824597464882
gemma_3_12b_it+gpt_120b_oss+qwen3_4b_instruct,3,AR,0.9111710631494804,0.006261657340794036,0.012145838884447998,0.009592326139088739,0.015494747059495264
gemma_3_12b_it+llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct,3,SR,0.8827937649880095,0.002997601918465223,0.006217248423483433,0.005062616573407938,0.008171240785149655
gemma_3_12b_it+llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct,3,AR,0.8896882494004796,0.0033573141486810537,0.00610178523847589,0.005861977084998665,0.008190273178282775
gemma_3_12b_it+llama_4_maverick_17b_128e_instruct+qwen3_235b_instruct,3,SR,0.8949840127897681,-0.014788169464428444,-0.0009325872635225033,-0.014388489208633087,-0.0012204522096608411
gemma_3_12b_it+llama_4_maverick_17b_128e_instruct+qwen3_235b_instruct,3,AR,0.9005795363709033,-0.01570743405275779,-0.002615685229594105,-0.016037170263788952,-0.0033473221422861735
gemma_3_12b_it+llama_4_maverick_17b_128e_instruct+qwen3_30b_instruct,3,SR,0.8929856115107914,0.004529709565680787,0.004320987654320989,0.00428228845495035,0.005431369190362005
gemma_3_12b_it+llama_4_maverick_17b_128e_instruct+qwen3_30b_instruct,3,AR,0.9017785771382894,0.007727151612043723,0.006727950972555287,0.008050702295306633,0.00849320543565149
gemma_3_12b_it+llama_4_maverick_17b_128e_instruct+qwen3_4b_instruct,3,SR,0.8894884092725819,0.00812683186783908,0.004476418864908081,0.007536827680712593,0.005624072170834766
gemma_3_12b_it+llama_4_maverick_17b_128e_instruct+qwen3_4b_instruct,3,AR,0.8975819344524381,0.007727151612043709,0.00778044231281642,0.008393285371702641,0.009834989151535916
gemma_3_12b_it+llama_4_scout_17b_16e_instruct+qwen3_235b_instruct,3,SR,0.887589928057554,-0.0009592326139088725,0.0029221067590372136,-0.0013489208633093441,0.0037755509877812044
gemma_3_12b_it+llama_4_scout_17b_16e_instruct+qwen3_235b_instruct,3,AR,0.8933852917665868,0.0005995203836930418,0.004463096189714906,0.0004496402877697814,0.005745403677058354
gemma_3_12b_it+llama_4_scout_17b_16e_instruct+qwen3_30b_instruct,3,SR,0.8809952038369304,0.005728750333066884,0.011417532640554229,0.008393285371702627,0.0145597807468311
gemma_3_12b_it+llama_4_scout_17b_16e_instruct+qwen3_30b_instruct,3,AR,0.8971822541966427,0.005462296829203309,0.014215294431121772,0.009078451524494699,0.01811408016443988
gemma_3_12b_it+llama_4_scout_17b_16e_instruct+qwen3_4b_instruct,3,SR,0.8739008792965628,0.006261657340794036,0.011826094679811711,0.008907159986296681,0.015073655361425154
gemma_3_12b_it+llama_4_scout_17b_16e_instruct+qwen3_4b_instruct,3,AR,0.8870903277378097,0.004316546762589912,0.015560884625632826,0.00794364508393286,0.019834132693844927
gemma_3_12b_it+qwen3_235b_instruct+qwen3_30b_instruct,3,SR,0.8924860111910472,0.009059419131361574,0.005329070077271514,0.010941247002398083,0.007065775950668045
