Committee,Size,Members,Method,MISPB_median,MISPB_mean,HSPP_median,HSPP_mean,MSD_SP_median,MSD_SP_mean,MSD_SP_norm_median,MSD_SP_norm_mean,MISPB_median_aware,MISPB_mean_aware,HSPP_median_aware,HSPP_mean_aware,MSD_SP_median_aware,MSD_SP_mean_aware,MSD_SP_norm_median_aware,MSD_SP_norm_mean_aware
gemma_3_12b_it+gemma_3_27b_it+gemma_3_4b_it+gpt_120b_oss+llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct+qwen3_235b_instruct,7,"Gemma-12B, Gemma-27B, Gemma-4B, GPT-120B, Llama-Mav, Llama-Scout, Qwen-235B",SR,-0.002184506805578898,0.014808768967733857,0.043833619640282095,0.02726506249631249,-0.005822550831792991,0.014549775547927133,-0.008339580255815923,0.017805866931793934,0.010687279448832132,0.026066047322978927,0.06153177735327364,0.05043423351478027,0.010782501540357356,0.02551858697884579,0.012094097494517078,0.03102916242017129
gemma_3_12b_it+gemma_3_27b_it+gemma_3_4b_it+gpt_120b_oss+llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct+qwen3_235b_instruct,7,"Gemma-12B, Gemma-27B, Gemma-4B, GPT-120B, Llama-Mav, Llama-Scout, Qwen-235B",AR,0.008049067383633007,0.014257974516754549,0.0009600207837521246,0.016198038377079733,-0.003203943314849078,0.012975188021398729,-0.005556836559417355,0.016317640939477403,0.016971937489497546,0.02525385889526369,0.012510452624025836,0.03143803105188016,0.012138016019716535,0.022393862042660546,0.013773320948631068,0.02801412777486721
gemma_3_12b_it+gemma_3_27b_it+gemma_3_4b_it+gpt_120b_oss+llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct+qwen3_235b_instruct,7,"Gemma-12B, Gemma-27B, Gemma-4B, GPT-120B, Llama-Mav, Llama-Scout, Qwen-235B",DA,0.0009148789185757511,0.0022711935835780478,-0.031344129533550424,-0.012397912347544822,-0.0016915300173815512,0.012269995984960714,-0.003363753417565375,0.01471167322784612,0.0027558393547303106,0.005473269798593282,-0.03888206693214241,-0.026994409481015218,0.012505128882208429,0.02181397973393146,0.013718006965948881,0.025969839831544984
gemma_3_12b_it+gemma_3_27b_it+gemma_3_4b_it+gpt_120b_oss+llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct+qwen3_235b_instruct,7,"Gemma-12B, Gemma-27B, Gemma-4B, GPT-120B, Llama-Mav, Llama-Scout, Qwen-235B",PWC,0.09819078026102052,0.0003704859527410128,0.05589318478351196,-0.003947598872334265,0.09901230418790499,0.004173101492879674,0.18948483142907147,0.014102791106836907,0.08782837618327449,-0.002936681310063967,0.056792361233420796,-0.014095349633460525,0.09614630594297884,0.002560594057821416,0.19517900609229288,0.016055354782973725
gemma_3_12b_it+gemma_3_27b_it+gemma_3_4b_it+gpt_120b_oss+llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct+qwen3_30b_instruct,7,"Gemma-12B, Gemma-27B, Gemma-4B, GPT-120B, Llama-Mav, Llama-Scout, Qwen-30B",SR,0.003024701730801549,0.019295143139875126,0.02700063259381391,0.02591924792371314,0.0016088176901485896,0.017845651302213255,0.00044604572437483003,0.021978013892481267,0.030078978322970927,0.03618239431548119,0.05122519343310472,0.05097429007990233,0.03111521873074563,0.03287562714549781,0.036072060479661924,0.040269665280062296
gemma_3_12b_it+gemma_3_27b_it+gemma_3_4b_it+gpt_120b_oss+llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct+qwen3_30b_instruct,7,"Gemma-12B, Gemma-27B, Gemma-4B, GPT-120B, Llama-Mav, Llama-Scout, Qwen-30B",AR,0.0026046042681902304,0.019112967541803045,0.024554069770957532,0.015977844516377387,0.0018826589991100678,0.01860067091120693,0.0007915379551482471,0.023117862775295834,0.028958718422674064,0.03577029870930055,0.0487123435755068,0.0314268291747491,0.03173136167590888,0.03449300237655132,0.0372661312965952,0.042625246909525835
gemma_3_12b_it+gemma_3_27b_it+gemma_3_4b_it+gpt_120b_oss+llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct+qwen3_30b_instruct,7,"Gemma-12B, Gemma-27B, Gemma-4B, GPT-120B, Llama-Mav, Llama-Scout, Qwen-30B",DA,0.001232285890326562,0.0035272183146490116,-0.027344584152063645,-0.01422602140583563,0.004702493664732937,0.01672627428597102,0.0040172014696285355,0.02000830715106209,0.006217442446647625,0.007153659649038566,-0.053007190584414055,-0.0352456599693015,0.0315363625899671,0.03124997840943376,0.035626655274039125,0.0371558596336646
gemma_3_12b_it+gemma_3_27b_it+gemma_3_4b_it+gpt_120b_oss+llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct+qwen3_30b_instruct,7,"Gemma-12B, Gemma-27B, Gemma-4B, GPT-120B, Llama-Mav, Llama-Scout, Qwen-30B",PWC,0.0975372953191807,-0.0013704512780298636,0.06284200046189381,-0.00920370647682651,0.10693814298250526,0.004120289240437098,0.21306571080646405,0.015089547818326351,0.09096510390410578,-0.006059405782141485,0.05584888883733424,-0.025819212721422204,0.10900128829888532,0.0032957646173912025,0.22860554815040401,0.01997341894966826
gemma_3_12b_it+gemma_3_27b_it+gemma_3_4b_it+gpt_120b_oss+llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct+qwen3_4b_instruct,7,"Gemma-12B, Gemma-27B, Gemma-4B, GPT-120B, Llama-Mav, Llama-Scout, Qwen-4B",SR,0.0034784069904217757,0.019221792789260433,0.026403329730028235,0.025218904336964547,0.008215239268843988,0.019195786755860717,0.007990707816613637,0.02334678284828784,0.03125525121828265,0.03629041937729554,0.05377220056244403,0.049430272968854334,0.03779010063668135,0.03610671009007429,0.04345574333895185,0.0436324669429829
gemma_3_12b_it+gemma_3_27b_it+gemma_3_4b_it+gpt_120b_oss+llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct+qwen3_4b_instruct,7,"Gemma-12B, Gemma-27B, Gemma-4B, GPT-120B, Llama-Mav, Llama-Scout, Qwen-4B",AR,0.0026214081666946776,0.018824100524655052,0.00795283015338788,0.010587123851427968,0.008420620250565072,0.01798550597071855,0.00823647583583545,0.022379009016486543,0.0306951212681342,0.035274183610597656,0.021737117989396038,0.01963084283274457,0.036044362292052066,0.03342575477510787,0.04214970234866677,0.041349614742754164
gemma_3_12b_it+gemma_3_27b_it+gemma_3_4b_it+gpt_120b_oss+llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct+qwen3_4b_instruct,7,"Gemma-12B, Gemma-27B, Gemma-4B, GPT-120B, Llama-Mav, Llama-Scout, Qwen-4B",DA,0.00608301125861202,0.0046938889822438845,-0.041822659777043636,-0.019717703881281166,0.0062917512613842735,0.01695268236820165,0.005848342857143113,0.020222286183460742,0.0124012770962863,0.010440422177945262,-0.044992097862578406,-0.04480388634794303,0.03372220303828444,0.03188917432193306,0.038055912996316596,0.037802791627672354
gemma_3_12b_it+gemma_3_27b_it+gemma_3_4b_it+gpt_120b_oss+llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct+qwen3_4b_instruct,7,"Gemma-12B, Gemma-27B, Gemma-4B, GPT-120B, Llama-Mav, Llama-Scout, Qwen-4B",PWC,0.036875221718105256,-0.008423554264589414,0.055362131940373205,-0.01448510138929102,0.08000522787953472,-0.003638710847583322,0.17187386546073835,-0.0008531089215922928,0.010474430067775709,-0.023499451872834472,0.037197502008954775,-0.03893374467927858,0.02915476390522596,-0.01575365484792474,0.07072215277527061,-0.01911806733842545
gemma_3_12b_it+gemma_3_27b_it+gemma_3_4b_it+gpt_120b_oss+llama_4_maverick_17b_128e_instruct+qwen3_235b_instruct+qwen3_30b_instruct,7,"Gemma-12B, Gemma-27B, Gemma-4B, GPT-120B, Llama-Mav, Qwen-235B, Qwen-30B",SR,0.001997796822196085,0.014006716224830823,0.0036428821243277287,-0.0004470118557060587,0.0028753337440952237,0.013063697444473828,0.0019448982045393998,0.016223615159996253,0.022643253234750457,0.024862568115802865,-0.0024318225816015726,-0.003968632923402692,0.02148798521256931,0.022740075697561916,0.025075858998204054,0.028142313242149265
gemma_3_12b_it+gemma_3_27b_it+gemma_3_4b_it+gpt_120b_oss+llama_4_maverick_17b_128e_instruct+qwen3_235b_instruct+qwen3_30b_instruct,7,"Gemma-12B, Gemma-27B, Gemma-4B, GPT-120B, Llama-Mav, Qwen-235B, Qwen-30B",AR,0.0034447991934128674,0.015257406384947977,-0.0033268203883203284,0.009005756727442082,0.004929143561306248,0.014844643957398101,0.004274282232703111,0.01842460991250683,0.023945555368845572,0.027626809419785386,0.00486642834614448,0.019170474191332585,0.026109057301293925,0.026562362468092564,0.03054998968171181,0.03278960813682584
gemma_3_12b_it+gemma_3_27b_it+gemma_3_4b_it+gpt_120b_oss+llama_4_maverick_17b_128e_instruct+qwen3_235b_instruct+qwen3_30b_instruct,7,"Gemma-12B, Gemma-27B, Gemma-4B, GPT-120B, Llama-Mav, Qwen-235B, Qwen-30B",DA,0.0028566627457570215,0.0037622061651636706,-0.04428683909008363,-0.02542166761594189,0.006404221798993456,0.013263414750456852,0.006044824529675509,0.016051831666463557,0.007855822550831795,0.008045466548239186,-0.07772525813560577,-0.05639594943165469,0.025357667594266525,0.023944462430825496,0.028949371840211388,0.028811330239852155
gemma_3_12b_it+gemma_3_27b_it+gemma_3_4b_it+gpt_120b_oss+llama_4_maverick_17b_128e_instruct+qwen3_235b_instruct+qwen3_30b_instruct,7,"Gemma-12B, Gemma-27B, Gemma-4B, GPT-120B, Llama-Mav, Qwen-235B, Qwen-30B",PWC,0.11084971713437514,0.04573541061526273,0.08026110745087728,0.04925500307532227,0.11607759666909394,0.05676650316206695,0.22369887966512633,0.11886227184713287,0.1483448159973113,0.08489329524449671,0.16089710911087646,0.08869140139176787,0.1677869265669636,0.1047140936697314,0.33610131466078585,0.22056515596898812
