Judge,Method,MRD-SP,MRD-SP_d_self,MRD-SP_d_other,MRD-FSP,MRD-FSP_d_family,MRD-FSP_d_nonfamily,MRD-FOSP,MRD-FOSP_d_family,MRD-FOSP_d_nonfamily,MSD-SP,MSD-SP_d_self,MSD-SP_d_other,MSD-SP-norm,MSD-SP-norm_d_self,MSD-SP-norm_d_other,MSD-FSP,MSD-FSP_d_family,MSD-FSP_d_nonfamily,MSD-FSP-norm,MSD-FSP-norm_d_family,MSD-FSP-norm_d_nonfamily,MSD-FOSP,MSD-FOSP_d_family,MSD-FOSP_d_nonfamily,MSD-FOSP-norm,MSD-FOSP-norm_d_family,MSD-FOSP-norm_d_nonfamily
Gemma-4B,DA,-13.222222222222221,-11.0,2.2222222222222223,-8.88888888888889,-6.666666666666667,2.2222222222222223,-6.722222222222222,-4.5,2.2222222222222223,0.09058354529703874,0.1762168823166974,0.08563333701965867,0.11965727269630595,0.2143124765829898,0.09465520388668384,0.05840621348939279,0.14403955050905146,0.08563333701965867,0.0748717441760041,0.16952694806268795,0.09465520388668384,0.0423175475855698,0.12795088460522847,0.08563333701965867,0.052478979915853166,0.147134183802537,0.09465520388668384
Gemma-4B,PWC,-10.88888888888889,-8.0,2.888888888888889,-11.555555555555555,-8.666666666666666,2.888888888888889,-11.88888888888889,-9.0,2.888888888888889,0.20954461435052926,0.15484792471853465,-0.054696689631994616,0.4576945185446733,0.3490530303030302,-0.10864148824164309,0.21878675852797846,0.16409006889598385,-0.054696689631994616,0.4582699218259323,0.3496284335842892,-0.10864148824164309,0.22340783061670305,0.16871114098470844,-0.054696689631994616,0.4585576234665618,0.3499161352249187,-0.10864148824164309
Llama-Mav,SR,-3.5,-3.0,0.5,-3.0,-2.5,0.5,-2.5,-2.0,0.5,0.0063770794824399395,0.025878003696857665,0.019500924214417726,0.005121583196036544,0.02808425275827482,0.022962669562238275,0.00961182994454719,0.029112754158964915,0.019500924214417726,0.009089748412096435,0.03205241797433471,0.022962669562238275,0.012846580406654439,0.032347504621072165,0.019500924214417726,0.013057913628156323,0.0360205831903946,0.022962669562238275
Llama-Mav,AR,-2.4,-2.0,0.4,-2.4,-2.0,0.4,-2.4,-2.0,0.4,-0.0001848428835490301,0.02310536044362288,0.02329020332717191,-0.0022626573625531,0.02507522567703105,0.02733788303958415,0.0062846580406654695,0.02957486136783738,0.02329020332717191,0.005268340433579814,0.03260622347316396,0.02733788303958415,0.01275415896487997,0.03604436229205188,0.02329020332717191,0.012799338229712728,0.04013722126929688,0.02733788303958415
Llama-Mav,DA,-3.5,-3.0,0.5,-3.0,-2.5,0.5,-2.5,-2.0,0.5,-0.003234750462107215,0.014479359211337028,0.017714109673444244,-0.0053825738603305515,0.015713808090939484,0.021096381951270036,0.0033887861983980874,0.02110289587184233,0.017714109673444244,0.0021979148900831413,0.023294296841353177,0.021096381951270036,0.01001232285890339,0.027726432532347633,0.017714109673444244,0.009778403640496834,0.03087478559176687,0.021096381951270036
Llama-Mav,PWC,8.3,7.0,-1.3,7.8,6.5,-1.3,7.3,6.0,-1.3,-0.12462611325827594,-0.1025037808771635,0.022122332381112435,-0.241789274673418,-0.19801980198019803,0.043769472693219943,-0.13273399428667454,-0.1106116619055621,0.022122332381112435,-0.2616987475261064,-0.21792927483288643,0.043769472693219943,-0.14084187531507314,-0.1187195429339607,0.022122332381112435,-0.2816082203787948,-0.23783874768557484,0.043769472693219943
Llama-Scout,SR,2.2,2.0,-0.2,1.2,1.0,-0.2,0.2,0.0,-0.2,-0.01050523721503389,-0.023721503388786203,-0.013216266173752312,-0.013140580126784481,-0.026415094339622646,-0.013274514212838165,-0.01528034504004928,-0.028496611213801593,-0.013216266173752312,-0.017987195444435534,-0.0312617096572737,-0.013274514212838165,-0.02005545286506467,-0.03327171903881698,-0.013216266173752312,-0.022833810762086584,-0.03610832497492475,-0.013274514212838165
Llama-Scout,AR,6.05,5.0,-1.05,6.3,5.25,-1.05,6.55,5.5,-1.05,-0.009950708564386967,0.020948860135551417,0.030899568699938384,-0.01287393184604672,0.023327615780445937,0.03620154762649266,-0.02088724584103514,0.010012322858903244,0.030899568699938384,-0.025039244249810317,0.01116230337668234,0.03620154762649266,-0.031823783117683316,-0.0009242144177449285,0.030899568699938384,-0.03720455665357392,-0.0010030090270812565,0.03620154762649266
Llama-Scout,DA,1.6,1.0,-0.6,3.6,3.0,-0.6,5.6,5.0,-0.6,-0.008040665434380711,0.004621072088724643,0.012661737523105353,-0.010505161711653933,0.005145797598627853,0.015650959310281785,-0.021903881700554472,-0.009242144177449119,0.012661737523105353,-0.025615673349483385,-0.009964714039201598,0.015650959310281785,-0.03576709796672824,-0.02310536044362288,0.012661737523105353,-0.040726184987312834,-0.02507522567703105,0.015650959310281785
Llama-Scout,PWC,6.3,5.0,-1.3,7.8,6.5,-1.3,9.3,8.0,-1.3,-0.17181146025878002,-0.14115274743740547,0.030658712821374567,-0.34374042260468163,-0.28278067665376194,0.060959745950919686,-0.18395227692824734,-0.15329356410687278,0.030658712821374567,-0.3621455720232965,-0.3011858260723768,0.060959745950919686,-0.19609309359771465,-0.1654343807763401,0.030658712821374567,-0.3805507214419114,-0.3195909754909917,0.060959745950919686
Qwen-235B,SR,-2.6666666666666665,-2.0,0.6666666666666666,-2.6666666666666665,-2.0,0.6666666666666666,-2.6666666666666665,-2.0,0.6666666666666666,0.018758129663859653,0.02926678989525555,0.010508660231395898,0.019265760876675107,0.03163503163503147,0.012369270758356365,0.019476963099883622,0.02998562333127952,0.010508660231395898,0.020887480084433044,0.03325675084278941,0.012369270758356365,0.019836379817895607,0.030345040049291505,0.010508660231395898,0.02169833968831201,0.034067610446668374,0.012369270758356365
Qwen-235B,AR,-2.6666666666666665,-2.0,0.6666666666666666,-2.6666666666666665,-2.0,0.6666666666666666,-2.6666666666666665,-2.0,0.6666666666666666,0.009002533032107827,0.02957486136783727,0.02057232833572944,0.008251954834950635,0.03196803196803189,0.023716077133081256,0.014650510029437968,0.03522283836516741,0.02057232833572944,0.015417330502386743,0.039133407635468,0.023716077133081256,0.017474498528103042,0.038046826863832484,0.02057232833572944,0.019000018336104797,0.042716095469186054,0.023716077133081256
Qwen-235B,DA,-1.3333333333333333,-1.0,0.3333333333333333,-1.3333333333333333,-1.0,0.3333333333333333,-1.3333333333333333,-1.0,0.3333333333333333,-0.0009242144177448661,0.04405422057917441,0.044978434996919274,-0.0037056384994126196,0.04761904761904766,0.05132468611846028,0.008112548777983272,0.053090983774902546,0.044978434996919274,0.007669073292390666,0.05899375941085094,0.05132468611846028,0.012630930375847345,0.05760936537276662,0.044978434996919274,0.013356429188292315,0.06468111530675259,0.05132468611846028
